FREQ, UX_2, , UX_3, , UX_4,,,,
, REAL, IMAGINARY, REAL, IMAGINARY, REAL, IMAGINARY,,,
9.40E-02,-2.75052315,-2.50E-08,-2.78476395,9.61E-09,-2.75907016,-1.64E-08,-1.64E-08,0.987704236,0.996902214
9.50E-02,-2.69240557,-2.53E-08,-2.7266475,9.71E-09,-2.70095258,-1.66E-08,-1.66E-08,0.987441747,0.996835557
9.60E-02,-2.63609466,-2.56E-08,-2.67033774,9.81E-09,-2.64464167,-1.67E-08,-1.67E-08,0.987176499,0.996768178
9.70E-02,-2.58151631,-2.58E-08,-2.61576054,9.92E-09,-2.59006332,-1.69E-08,-1.69E-08,0.9869085,0.996700077
9.80E-02,-2.52860016,-2.61E-08,-2.56284556,1.00E-08,-2.53714717,-1.71E-08,-1.71E-08,0.986637743,0.996631252
9.90E-02,-2.4772794,-2.64E-08,-2.51152597,1.01E-08,-2.4858264,-1.73E-08,-1.73E-08,0.986364238,0.996561707
0.1,-2.42749052,-2.66E-08,-2.46173829,1.02E-08,-2.43603752,-1.74E-08,-1.74E-08,0.986087973,0.996491433
0.101,-2.37917316,-2.69E-08,-2.41342213,1.03E-08,-2.38772016,-1.76E-08,-1.76E-08,0.98580896,0.996420435
0.102,-2.33226989,-2.72E-08,-2.36652008,1.04E-08,-2.3408169,-1.78E-08,-1.78E-08,0.985527192,0.996348706
0.103,-2.28672607,-2.74E-08,-2.32097749,1.05E-08,-2.29527308,-1.80E-08,-1.80E-08,0.985242675,0.996276256
0.104,-2.24248967,-2.77E-08,-2.27674233,1.06E-08,-2.25103668,-1.81E-08,-1.81E-08,0.984955408,0.996203078
0.105,-2.19951111,-2.80E-08,-2.23376502,1.07E-08,-2.20805812,-1.83E-08,-1.83E-08,0.984665392,0.996129173
0.106,-2.15774315,-2.82E-08,-2.19199832,1.08E-08,-2.16629016,-1.85E-08,-1.85E-08,0.984372629,0.996054541
0.107,-2.11714075,-2.85E-08,-2.1513972,1.10E-08,-2.12568776,-1.87E-08,-1.87E-08,0.984077115,0.995979179
0.108,-2.07766094,-2.88E-08,-2.11191867,1.11E-08,-2.08620794,-1.88E-08,-1.88E-08,0.983778859,0.995903093
0.109,-2.03926271,-2.90E-08,-2.07352175,1.12E-08,-2.04780972,-1.90E-08,-1.90E-08,0.983477849,0.995826267
0.11,-2.00190691,-2.93E-08,-2.03616726,1.13E-08,-2.01045392,-1.92E-08,-1.92E-08,0.983174098,0.995748716
0.111,-1.96555615,-2.96E-08,-1.99981783,1.14E-08,-1.97410316,-1.94E-08,-1.94E-08,0.982867599,0.995670434
0.112,-1.93017469,-2.98E-08,-1.96443771,1.15E-08,-1.9387217,-1.96E-08,-1.96E-08,0.982558358,0.99559142
0.113,-1.89572838,-3.01E-08,-1.92999274,1.16E-08,-1.90427539,-1.97E-08,-1.97E-08,0.982246379,0.995511673
0.114,-1.86218454,-3.04E-08,-1.89645026,1.17E-08,-1.87073155,-1.99E-08,-1.99E-08,0.981931654,0.995431194
0.115,-1.82951192,-3.06E-08,-1.86377902,1.18E-08,-1.83805893,-2.01E-08,-2.01E-08,0.981614183,0.99534998
0.116,-1.79768061,-3.09E-08,-1.8319491,1.19E-08,-1.80622762,-2.03E-08,-2.03E-08,0.981293973,0.995268033
0.117,-1.76666197,-3.12E-08,-1.80093185,1.20E-08,-1.77520898,-2.04E-08,-2.04E-08,0.980971029,0.99518535
0.118,-1.73642857,-3.14E-08,-1.77069986,1.21E-08,-1.74497558,-2.06E-08,-2.06E-08,0.980645342,0.995101931
0.119,-1.70695412,-3.17E-08,-1.74122684,1.22E-08,-1.71550113,-2.08E-08,-2.08E-08,0.980316913,0.995017777
0.12,-1.67821343,-3.20E-08,-1.71248758,1.23E-08,-1.68676044,-2.10E-08,-2.10E-08,0.979985753,0.994932884
0.121,-1.65018235,-3.23E-08,-1.68445795,1.24E-08,-1.65872936,-2.11E-08,-2.11E-08,0.979651852,0.994847255
0.122,-1.6228377,-3.25E-08,-1.65711476,1.25E-08,-1.63138471,-2.13E-08,-2.13E-08,0.979315217,0.994760886
0.123,-1.59615726,-3.28E-08,-1.63043579,1.26E-08,-1.60470427,-2.15E-08,-2.15E-08,0.978975848,0.994673779
0.124,-1.57011968,-3.31E-08,-1.60439969,1.27E-08,-1.57866669,-2.17E-08,-2.17E-08,0.978633747,0.994585931
0.125,-1.54470447,-3.33E-08,-1.57898598,1.28E-08,-1.55325148,-2.19E-08,-2.19E-08,0.978288908,0.994497343
0.126,-1.51989196,-3.36E-08,-1.55417497,1.29E-08,-1.52843896,-2.20E-08,-2.20E-08,0.977941345,0.99440802
0.127,-1.49566323,-3.39E-08,-1.52994776,1.30E-08,-1.50421024,-2.22E-08,-2.22E-08,0.977591045,0.994317942
0.128,-1.47200012,-3.41E-08,-1.50628618,1.31E-08,-1.48054712,-2.24E-08,-2.24E-08,0.977238017,0.994227134
0.129,-1.44888515,-3.44E-08,-1.48317276,1.32E-08,-1.45743216,-2.26E-08,-2.26E-08,0.976882255,0.994135569
0.13,-1.42630152,-3.47E-08,-1.46059069,1.33E-08,-1.43484853,-2.27E-08,-2.27E-08,0.976523765,0.994043267
0.131,-1.40423307,-3.49E-08,-1.43852381,1.35E-08,-1.41278008,-2.29E-08,-2.29E-08,0.97616255,0.993950219
0.132,-1.38266426,-3.52E-08,-1.41695657,1.36E-08,-1.39121127,-2.31E-08,-2.31E-08,0.975798616,0.993856426
0.133,-1.3615801,-3.55E-08,-1.39587401,1.37E-08,-1.37012711,-2.33E-08,-2.33E-08,0.975431945,0.993761885
0.134,-1.34096618,-3.57E-08,-1.3752617,1.38E-08,-1.34951319,-2.34E-08,-2.34E-08,0.97506255,0.993666598
0.135,-1.32080863,-3.60E-08,-1.35510576,1.39E-08,-1.32935564,-2.36E-08,-2.36E-08,0.97469044,0.993570562
0.136,-1.30109407,-3.63E-08,-1.33539283,1.40E-08,-1.30964108,-2.38E-08,-2.38E-08,0.974315603,0.993473777
0.137,-1.28180961,-3.66E-08,-1.31611001,1.41E-08,-1.29035662,-2.40E-08,-2.40E-08,0.973938045,0.993376242
0.138,-1.26294283,-3.68E-08,-1.29724489,1.42E-08,-1.27148984,-2.42E-08,-2.42E-08,0.973557761,0.993277957
0.139,-1.24448175,-3.71E-08,-1.27878548,1.43E-08,-1.25302876,-2.43E-08,-2.43E-08,0.973174758,0.99317892
0.14,-1.22641483,-3.74E-08,-1.26072024,1.44E-08,-1.23496184,-2.45E-08,-2.45E-08,0.972789038,0.99307913
0.141,-1.20873093,-3.76E-08,-1.24303802,1.45E-08,-1.21727794,-2.47E-08,-2.47E-08,0.972400611,0.992978588
0.142,-1.19141928,-3.79E-08,-1.22572808,1.46E-08,-1.19996629,-2.49E-08,-2.49E-08,0.972009453,0.992877292
